character_mal_id,nickname
270748,Game Master
270745,Prostitute
270740,The Witch
270666,Protagonist
270652,Strong Arm
270644,Ted Thunderstorm
270642,Francesco Meda
270607,Bat Villain
270607,Mad Bat
270606,Junkie Villain
270568,Rurihiko
270500,Hiyocchi
270491,Twilight
270488,Jizou
270473,Fuu-chan
270417,Charlotte
270403,Super Model Prisoner
270398,Burr
270392,M.A.D
270376,Eureka
270340,The Pi-chans
270339,The Pi-chans
270338,The Pi-chans
270338,Pico
270315,Lino
270229,Bunkov
270185,Ekko
270183,Ririsu
270167,Antlerkov
270156,Great Sage Equaling Heaven
270143,Sexy Fujiyama
270142,Princess Mamu
270136,Iketani
270131,Hostess
270130,Neuras
270129,Eccentric Crier
270114,Electric Eel Villain
270097,Can
270066,Sung Hyun-Jae
269977,Hrist
269966,Mecha God ZED
269958,Apep
269944,King of Humans
269944,Phantom
269943,The Invader
269939,Shao
269921,Sun-Ung Wi
269920,Myeong-Hui Shin
269920,Myeong-Hui Shin
269914,Fukachin
269904,Il-Ho
269849,Lili's Father
269836,Irene Irus
269830,Linte
269829,Yoon Haneul
269829,Witch
269829,Echo
269810,Kurimanju
269810,Kurimanju
269805,Hasebe
269799,Stone Villain
269789,Miyama Lilen
269777,Goddess Hero
269777,God of War
269760,Cheek
269737,The Sword Saint
269736,Blow
269736,Black Magician
269722,Shuu
269722,I
269690,The Lizard
269680,Difa Roland
269678,Medis
269678,Medisfina Stromheim
269647,Flying Fish Rider
269646,Flying Fish Rider
269640,Lint
269639,Police-Killer
269638,Police-Killer
269602,Kikuyo
269601,Blood Emperor
269487,Archmage
269472,Igniting
269470,Mad Dog
269469,Mag
269462,Noble Knight
269462,Noble Knight
269461,The Witch of the North
269460,Red Nightmare
269443,Grisha
269441,Left Eye of Delekacon
269419,Celia Judinger
269415,Sohdayo
269412,Miss J
269411,Enlighter
269411,God Eye
269410,Moon
269409,Boss
269390,Chloe Amboise
269388,Golden Eperanteia
269387,Red Karinga
269376,Shin-chan
269373,Kodu
269369,Captain
269364,Demonic Supreme Remnant
269355,Vampire Slayer
269345,Pashia
269316,Great Stone Ape
269292,Tatsu
269245,Master
269211,Zombie 115
269175,Cifera
269167,Playable Character
269167,NPC
269166,The Mistborn Duke
269165,Lightning Rod
269164,Lord of the First Province
269164,Father of the Damned
269163,Black Boulder Tyrant
269162,Cold Monarch
269161,The Prince Who Drinks Blood
269161,Lightning Rod
269156,Fami
269136,Nureong
269128,Indoor Mihar
269124,The Smile Angel
269082,Kuroko-chan
269082,Kuroko-chan
269057,Unbo
269040,Zombie 256
269029,Water God
268994,François
268966,Dream visitor
268965,Daughter of dreams
268965,Daughter of dreams
268964,Maid of Dreams
268959,Meijuan
268953,Liang
268942,Da
268928,Vivian
268921,Chris
268916,Rei
268914,Kinu
268905,Secret Teacher
268888,Arachne
268887,The Butcher of Human Body
268887,The Savage Beast of Grodnensa
268886,The Wanderer
268886,The Fiend of the Southern Continent
268882,Nine
268881,Kim Jiha
268881,Jaiha
268881,Jaihi
268878,Mori
268878,Momo
268878,Mori
268878,Momo
268842,Demon Supreme
268837,Inspector Of The Earth Realm
268811,Hero
268808,Hero
268803,Ajin no Joou Girika
268800,Lara
268787,Closet Pervert
268786,Octo
268759,Fralik the Heaven
268757,Izick the Chromatic
268755,Yuugo the Moving Decapitation Blade
268753,Lumelly the Poisoned Ground
268751,Alena the Benighted White Wind
268749,Maqure the Sky's Lake Surface
268748,Giza the Winged Sword
268747,Shiki
268747,Enemy of All
268746,Frinsda the Forerunner
268745,Yaniegiz the Chisel
268735,Heartsping
268729,Jörmungandr
268701,Mi-chan
268672,Meruaria
268672,The End
268671,The Greatest Commoner Summoner
268670,Mary
268648,Miyake
268642,Umineko
268640,Boss
268638,Kohane's Mother
268637,Baek Jinwoo
268624,Raika
268624,Blade Whistler
268622,Mirina
268621,Setsu
268616,Sue Sparrow
268605,Kuma
268605,Сhiro
268598,Maddo
268597,Amichi
268570,The Crawling Chaos
268534,The Tiger of Fujinasu
268521,Nell
268509,Nacchan
268437,Thunder Mask
268436,Doo-Doo
268415,Jessica
268374,Misty
268363,Goldie
268362,Deus
268361,Kaniya the Thinning Out
268360,Morio the Sentinel
268360,Morio Ariyama
268359,Dant the Heath Furrow
268345,The Boss
268345,Sal
268345,The Italian
268345,Morelli
268345,Anton Karoselle
268333,Anju
268333,Ange
268303,Bas
268302,Del
268291,Kin
268279,Nosa
268279,Kau
268279,Naka
268279,Ay
268271,Kei-chan
268198,Divine Dragon
268178,Icchi
268174,Witch
268174,Witch of Greed
268174,Great Disaster
268161,Hachi
268042,White Serpent Flower
268027,The Sword of the Messiah
268012,Sheena
268003,Albert
267992,Gina
267991,Raqio
267944,Hitman
267924,Sharaku's Father
267919,Johann
267904,Chesskippa the Hanger-on
267839,Dr. Black Beard
267834,Takebou
267825,Girl
267824,Aldeen
267823,El Carone
267817,Master
267733,Eureka
267730,The Garland
267709,Grandmother
267708,Butler
267655,Rein
267652,Viscount L'Eupatorium
267634,Oshinko
267632,Makocchi
267595,Djerwnapekhaper Saciut Hatshepsut
267590,Blue Lightning
267580,Rique the Misfortune
267579,Olukt the Drifting Compass Needle
267572,Ow Wee
267524,Hippie the Skull Curry
267515,Baggy
267511,Overlord Zenon
267510,Skull
267507,Space Detective Prinny Mask
267507,Antisocial Man
267494,Flaming Sword Hero
267493,Flaming Fang Fist
267492,Sword Dragon
267490,Divine Dragon
267488,Poison Phoenix
267487,Sword Venerable
267485,Sword Dancer
267484,The Child
267482,Rapist Demon
267482,Vaginas Hunter
267478,Meow Hunter
267477,Chris Reverbre
267477,Girl-surprise
267475,Pussycat
267474,Rapist Hunter
267473,Sperm Alchemist
267472,Sperm Alchemist
267459,Female Warrior
267459,Lady Fighter
267458,Fighter
267454,Netherworld President Hugo
267454,Death King Hugo
267448,Rokuro Nomura
267448,The Scarred Man
267448,Rock
267448,O'Clock II
267448,Overclock
267436,Spike Villain
267431,Razlo
267431,Lazlo
267427,The Immortal Tamer
267425,Snake Tamer
267409,Hawkendale
267408,Drim's Mother
267352,Brightside
267182,Prison Guard
267182,Prison Guard
267181,Hezel Thor
267180,Dragon of Despair
267175,Jack
267156,General Carter
267154,Zombie
267148,MC Sledge
267137,Tanakhan
267135,Shiro
267124,Pagireshe the Quivering Toes
267123,Wint the Astonishment
267122,Leforgid the Woven Trail
267121,Hilca the Shadow's Ship
267120,Milieu the Hemp Drop
267112,Gummo
267104,Hareaki
267103,Namihei
267076,Winter General
267026,Angel Chief
267026,Lost Loli
267026,Loli Angel
267025,Strong Arm
267024,Salary Thief
267024,Legendary Demon of the Wind
267010,Basilisk
267003,Salamander
266935,No. 5
266923,No. 4
266907,Female Healer
266902,All Purpose Robot
266900,Seraph Lamington
266882,Yankee
266877,Leader
266866,37th Defender of Earth
266866,Captain Gordon
266851,ポコニャン
266818,Trueping
266785,Nokishita
266781,Betrayis
266780,Miffy Maus
266768,Ashi
266733,Angel
266733,LA-11H
266726,Rune
266719,Semen Thief
266714,Mozert
266709,Death/Extermination Submersible Combat Organism
266708,Moonlight Fang
266706,Millenial Great Magician
266704,Dragon King
266647,Kitty
266647,Kitty
266621,Beret
266620,Youshoku
266606,Pandawoman
266599,Anjoh
266588,Sander
266584,Vargas
266583,Grizzle
266568,The Magnificent
266546,Editor
266545,Equipment Manager
266544,Buchou
266534,Berserker
266531,Handsome-kun
266520,Eroriman
266516,Rairi
266516,Rairi
266475,Ghost
266475,Bonz
266475,Kozuka
266475,Ghost
266475,Bonz
266475,Kozuka
266458,Punk Rep
266457,Fishing Rod Master
266455,Sweet Fluffy
266453,Master
266453,Lord
266450,Mocha
266445,Tentacles of Love
266438,Husky
266438,Dog Woman
266437,Black Goat Maid
266437,Sweet Рooh
266435,Sasaki Kozue
266435,Kwang Van Kael
266432,Jonah
266417,Deero
266416,Crana
266415,Brutalizer
266370,Garo
266368,Belka the Rending Quake
266367,Cunodey the Ring Seat
266365,Nofelt the Somber Wind
266342,The Best Brawler
266342,Mr. Bleach Blond
266342,Rotten Fruit
266325,Princess
266304,Saruo
266302,Persephone
266239,Diana
266234,Ichabod
266233,Olivia
266232,Beatrice
266214,Benedict
266212,Tony
266211,Waldo
266124,Nobunaga
266104,Prince of Troy
266103,Princess of Phoenicia
266101,Prince of Calydon
266100,Gorgon
266096,Queen of Aethiopia
266095,Princess of Colchis
266093,Princess of Aethiopia
266084,Stheneboea
266083,God of Art
266083,Prophecy
266083,Music
266082,Goddess of Love & Beauty
266071,Nu2meg
266057,Demon-Fire
266057,Irrlicht
266057,Will o' the Wisp
266057,Ignis Fatuus
266052,Silvanka
266038,King of Pthia
266033,Yuki
266031,The King of Boeotia
266030,King of Lycia
266029,God of the Underworld
266028,Potamide of River Inachus
266027,Primordial God of the Darkness
266026,God of the West Wind and Spring
266025,God of Wine
266017,God of Fire
266016,Mother of Gods
266015,God of Love
266014,Goddess of Strife and Discord
266013,Goddess of the Human Soul
266012,The God of Foreknowledge
266007,Pantsu-man
266006,Queen of the Sea
266005,The Messenger of the Gods
266004,God of War
266003,Goddess of Agriculture
266002,Goddess of the Hunt
266001,An Old Lady in Athens and Arachne
266000,God of the Sea
265999,The Queen of the Gods
265999,The Goddess of Marriage
265998,King of the Gods
265995,Dutch
265994,White Lightning Princess
265989,Master Swordman
265953,Roppei
265949,Doctor Holdine
265935,Mazoku
265934,Nawabari Yaburi
265891,Yururin
265890,Kanekono
265858,Ice Demon Swordsman
265857,Demon King of Pride
265855,Akashikibu
265833,God Hand
265788,The Shrine
265784,Necromancer
265783,Sanctifex Forden
265783,His Eminence
265765,Boss
265751,Heng the Shallow Stepper
265750,Rook the Shredding Trineedle
265749,Lalaki the Fleeting Tomb
265748,Eswilda the Nightmare Border
265747,Yushid the Firmament
265746,Lagrex the Butchering Landslide
265744,Koma-chan
265672,Karil
265656,Aya
265573,Princess Lightning
265555,Lone Star of the Cerulean Sky
265543,Chii
265506,Great Water Spirit
265503,Kirara
265485,Murkrow
265470,Na-chan
265436,Boobs of Stars
265434,Carl
265431,Jerry
265360,Rilla
265359,Di
265358,Nan
265356,Jem
265353,Dracovish
265352,Mereth
265341,Viga the Clamor
265340,Onoperal the Bone Watcher
265338,Ekilege the Blood Fountain
265337,Antel the Alignment
265333,Kaete the Round Table
265332,Gilnes the Ruined Castle
265324,Jojo
265316,Nick
265313,Colonel White
265310,Diamond Peggy
265281,Queen Pikarine
265272,Pen
265260,Lavi
265259,The Best In The West
265258,Hyun Seung-hee
265257,Jang Jun-hoo
265256,Park Yun-kyu
265256,Father Park
265255,Lee Hyun-am
265249,Catan
265239,Naohito
265228,Lorkan Winkler
265227,The Freak
265208,Wo Ai Ni
265208,Wo Ai Ni
265171,Kaizer
265149,Rion
265135,The Queen of Thorns
265125,Himiko
265124,Shotaro Onodera
265108,Jack
265079,Mr. President
265079,Mr. President
265071,Dayeru
265071,Dayeru
265054,7 Legion Commander
265053,Minoru Tomoya
