mal_id,watching,completed,on_hold,dropped,plan_to_watch,total,score_1_votes,score_1_percentage,score_2_votes,score_2_percentage,score_3_votes,score_3_percentage,score_4_votes,score_4_percentage,score_5_votes,score_5_percentage,score_6_votes,score_6_percentage,score_7_votes,score_7_percentage,score_8_votes,score_8_percentage,score_9_votes,score_9_percentage,score_10_votes,score_10_percentage
37258,1260,6655,446,1915,4512,14788,192.0,3.5,265.0,4.8,448.0,8.1,785.0,14.1,1528.0,27.5,1228.0,22.1,732.0,13.2,221.0,4.0,55.0,1.0,107.0,1.9
58039,7,80,4,12,22,125,3.0,5.8,0.0,0.0,4.0,7.7,6.0,11.5,14.0,26.9,13.0,25.0,3.0,5.8,1.0,1.9,2.0,3.8,6.0,11.5
17624,38,150,20,97,186,491,12.0,13.0,0.0,0.0,2.0,2.2,5.0,5.4,21.0,22.8,9.0,9.8,11.0,12.0,11.0,12.0,2.0,2.2,19.0,20.7
29846,52,141,35,123,305,656,15.0,14.7,8.0,7.8,10.0,9.8,6.0,5.9,14.0,13.7,11.0,10.8,8.0,7.8,9.0,8.8,0.0,0.0,21.0,20.6
10674,17,652,4,39,165,877,27.0,6.0,35.0,7.8,41.0,9.1,72.0,16.0,111.0,24.6,87.0,19.3,41.0,9.1,10.0,2.2,7.0,1.6,20.0,4.4
6324,12473,170263,5362,7013,55248,250359,784.0,0.6,1265.0,1.0,2475.0,2.0,5646.0,4.6,13497.0,10.9,24212.0,19.6,35549.0,28.7,22066.0,17.8,10045.0,8.1,8259.0,6.7
26197,22,96,11,73,196,398,4.0,6.9,0.0,0.0,3.0,5.2,2.0,3.4,13.0,22.4,5.0,8.6,5.0,8.6,5.0,8.6,1.0,1.7,20.0,34.5
40036,59,118,20,67,493,757,5.0,7.0,2.0,2.8,4.0,5.6,14.0,19.7,14.0,19.7,14.0,19.7,5.0,7.0,1.0,1.4,1.0,1.4,11.0,15.5
61606,4,51,2,7,7,71,1.0,2.6,2.0,5.3,0.0,0.0,10.0,26.3,10.0,26.3,8.0,21.1,5.0,13.2,1.0,2.6,0.0,0.0,1.0,2.6
36198,5399,30174,1454,5237,20323,62587,1138.0,5.1,1192.0,5.4,1415.0,6.4,2490.0,11.2,4308.0,19.3,4625.0,20.8,3382.0,15.2,1727.0,7.8,781.0,3.5,1207.0,5.4
1300,267,1921,263,373,2324,5148,20.0,1.2,13.0,0.8,40.0,2.4,74.0,4.5,179.0,10.8,303.0,18.3,350.0,21.1,325.0,19.6,174.0,10.5,180.0,10.9
59655,7,38,7,40,38,130,1.0,7.1,1.0,7.1,2.0,14.3,1.0,7.1,4.0,28.6,2.0,14.3,1.0,7.1,1.0,7.1,0.0,0.0,1.0,7.1
6823,43,1332,13,89,273,1750,92.0,10.6,83.0,9.6,114.0,13.2,159.0,18.4,192.0,22.2,94.0,10.9,57.0,6.6,28.0,3.2,6.0,0.7,39.0,4.5
33888,18,195,2,51,69,335,15.0,10.9,9.0,6.6,15.0,10.9,17.0,12.4,39.0,28.5,21.0,15.3,11.0,8.0,0.0,0.0,0.0,0.0,10.0,7.3
32190,220,4009,90,77,2290,6686,29.0,1.0,17.0,0.6,48.0,1.6,101.0,3.4,430.0,14.6,846.0,28.8,854.0,29.1,374.0,12.7,152.0,5.2,87.0,3.0
39753,3731,33637,1191,510,46853,85922,105.0,0.4,104.0,0.4,238.0,0.9,578.0,2.3,1658.0,6.5,3730.0,14.7,8017.0,31.5,6058.0,23.8,2915.0,11.5,2019.0,7.9
50137,6,125,3,32,68,234,8.0,9.6,1.0,1.2,10.0,12.0,13.0,15.7,22.0,26.5,17.0,20.5,5.0,6.0,0.0,0.0,0.0,0.0,7.0,8.4
55952,3,59,3,24,20,109,1.0,2.5,1.0,2.5,1.0,2.5,10.0,25.0,9.0,22.5,6.0,15.0,1.0,2.5,5.0,12.5,0.0,0.0,6.0,15.0
56071,4,91,0,15,23,133,1.0,1.6,3.0,4.9,1.0,1.6,10.0,16.4,23.0,37.7,12.0,19.7,5.0,8.2,0.0,0.0,0.0,0.0,6.0,9.8
8729,18,393,8,54,93,566,22.0,8.1,21.0,7.8,29.0,10.7,56.0,20.7,79.0,29.3,33.0,12.2,10.0,3.7,5.0,1.9,1.0,0.4,14.0,5.2
49678,8,155,0,17,30,210,9.0,8.8,2.0,2.0,9.0,8.8,16.0,15.7,35.0,34.3,16.0,15.7,5.0,4.9,2.0,2.0,1.0,1.0,7.0,6.9
21557,5990,233224,2252,1070,83091,325627,481.0,0.3,313.0,0.2,604.0,0.3,1938.0,1.1,5283.0,3.0,13350.0,7.5,35093.0,19.7,51506.0,28.8,38467.0,21.5,31502.0,17.6
40582,9,163,2,31,62,267,6.0,5.4,0.0,0.0,14.0,12.6,17.0,15.3,30.0,27.0,25.0,22.5,6.0,5.4,2.0,1.8,0.0,0.0,11.0,9.9
1029,2762,107995,1525,1107,46922,160311,258.0,0.3,383.0,0.5,724.0,0.9,2090.0,2.5,5123.0,6.2,10922.0,13.1,21911.0,26.3,20895.0,25.1,12285.0,14.8,8609.0,10.3
57941,3,40,5,18,17,83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,9.0,37.5,8.0,33.3,1.0,4.2,0.0,0.0,0.0,0.0,5.0,20.8
42442,13,335,5,20,52,425,7.0,3.2,6.0,2.7,9.0,4.1,12.0,5.4,38.0,17.1,50.0,22.5,48.0,21.6,26.0,11.7,16.0,7.2,10.0,4.5
55536,2,45,3,22,40,112,0.0,0.0,0.0,0.0,1.0,4.2,2.0,8.3,7.0,29.2,5.0,20.8,2.0,8.3,1.0,4.2,0.0,0.0,6.0,25.0
49124,15,384,6,22,121,548,5.0,1.8,4.0,1.5,5.0,1.8,11.0,4.0,41.0,14.9,59.0,21.5,79.0,28.7,32.0,11.6,17.0,6.2,22.0,8.0
2742,64,197,34,121,333,749,16.0,13.1,2.0,1.6,3.0,2.5,9.0,7.4,24.0,19.7,12.0,9.8,23.0,18.9,11.0,9.0,2.0,1.6,20.0,16.4
55935,2,85,1,14,20,122,3.0,5.0,3.0,5.0,6.0,10.0,19.0,31.7,14.0,23.3,7.0,11.7,2.0,3.3,0.0,0.0,0.0,0.0,6.0,10.0
50931,27,752,14,25,103,921,8.0,1.7,8.0,1.7,6.0,1.2,13.0,2.7,57.0,11.8,124.0,25.6,118.0,24.4,56.0,11.6,37.0,7.6,57.0,11.8
41796,11,293,3,24,105,436,20.0,9.5,15.0,7.1,8.0,3.8,30.0,14.3,44.0,21.0,45.0,21.4,24.0,11.4,8.0,3.8,4.0,1.9,12.0,5.7
33343,14,170,7,66,76,333,12.0,10.0,4.0,3.3,5.0,4.2,30.0,25.0,19.0,15.8,19.0,15.8,13.0,10.8,4.0,3.3,1.0,0.8,13.0,10.8
39180,19,320,2,31,91,463,20.0,10.0,18.0,9.0,18.0,9.0,27.0,13.4,64.0,31.8,30.0,14.9,10.0,5.0,3.0,1.5,1.0,0.5,10.0,5.0
50285,495,307,73,227,1858,2960,29.0,11.7,9.0,3.6,21.0,8.5,17.0,6.9,51.0,20.6,47.0,19.0,39.0,15.8,10.0,4.0,6.0,2.4,18.0,7.3
38977,20,346,5,37,137,545,19.0,8.1,9.0,3.8,19.0,8.1,39.0,16.5,65.0,27.5,35.0,14.8,23.0,9.7,11.0,4.7,3.0,1.3,13.0,5.5
55550,5,41,4,28,37,115,1.0,4.0,1.0,4.0,1.0,4.0,4.0,16.0,5.0,20.0,5.0,20.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,28.0
1047,834,29012,278,162,12756,43042,58.0,0.3,70.0,0.3,136.0,0.7,318.0,1.5,1130.0,5.5,2902.0,14.0,5627.0,27.2,5260.0,25.4,2569.0,12.4,2600.0,12.6
59888,5,48,4,23,23,103,2.0,6.9,0.0,0.0,0.0,0.0,2.0,6.9,9.0,31.0,7.0,24.1,7.0,24.1,1.0,3.4,0.0,0.0,1.0,3.4
8229,26,136,15,64,172,413,14.0,16.5,5.0,5.9,5.0,5.9,10.0,11.8,14.0,16.5,8.0,9.4,12.0,14.1,3.0,3.5,2.0,2.4,12.0,14.1
10424,252,1525,130,162,787,2856,57.0,5.6,56.0,5.5,58.0,5.7,118.0,11.6,274.0,27.0,170.0,16.7,136.0,13.4,57.0,5.6,26.0,2.6,63.0,6.2
36118,67,136,20,68,264,555,5.0,5.7,1.0,1.1,6.0,6.8,12.0,13.6,20.0,22.7,9.0,10.2,18.0,20.5,1.0,1.1,1.0,1.1,15.0,17.0
49524,1118,5681,332,288,1878,9297,81.0,2.0,33.0,0.8,65.0,1.6,124.0,3.1,298.0,7.4,565.0,14.1,1037.0,25.8,804.0,20.0,413.0,10.3,597.0,14.9
60363,27,0,11,34,32,104,3.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,2.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3
